"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"04/29/2022","17:30:00","0002 NW  SE","6","5","","","","","","","","79.7","","62.1","55",""
"04/29/2022","17:30:00","0002 NW  SE","12","5","99","8","107","13","80","17","13","","","","",""
"04/29/2022","17:30:00","0002 NW  SE","54","5","95","10","82","16","81","18","10","74.4","-5.3","61.4","64",""
"04/29/2022","17:30:00","0002 NW  SE","90","5","98","12","93","15","108","17","9","","","","",""
"04/29/2022","17:30:00","0002 NW  SE","145","5","93","13","95","17","70","19","7","","","","",""
"04/29/2022","17:30:00","0002 NW  SE","204","5","96","14","103","18","99","19","8","73.1","","62.3","69",""
"04/29/2022","17:30:00","0006 NW  SE","6","5","","","","","","","","76.3","","62.8","63",""
"04/29/2022","17:30:00","0006 NW  SE","12","5","84","5","63","11","60","14","18","","","","",""
"04/29/2022","17:30:00","0006 NW  SE","54","5","100","9","85","16","84","18","12","74.8","-1.5","63.1","67",""
"04/29/2022","17:30:00","0006 NW  SE","162","5","98","14","86","18","86","18","4","","","","",""
"04/29/2022","17:30:00","0006 NW  SE","204","5","100","13","102","16","92","17","4","72.2","","61.5","69",""
"04/29/2022","17:30:00","SLC 40","150","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","SLC 40","151","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","SLC 40","152","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","SLC 41","50","5","101","10","97","16","90","19","11","","","","",""
"04/29/2022","17:30:00","SLC 41","51","5","95","13","89","20","93","21","11","","","","",""
"04/29/2022","17:30:00","SLC 41","230","5","96","15","98","19","98","19","4","","","","",""
"04/29/2022","17:30:00","SLC 41","231","5","97","19","97","21","94","21","4","","","","",""
"04/29/2022","17:30:00","0110 NW  SE","6","5","","","","","","","","78.2","","62.7","59",""
"04/29/2022","17:30:00","0110 NW  SE","12","5","104","7","104","14","104","14","15","","","","",""
"04/29/2022","17:30:00","0110 NW  SE","54","5","96","12","94","19","94","19","10","76.3","-1.9","61.4","60",""
"04/29/2022","17:30:00","0110 NW  SE","162","5","93","14","90","18","90","18","8","","","","",""
"04/29/2022","17:30:00","0110 NW  SE","204","5","91","12","80","18","80","18","7","73.6","","61.6","66",""
"04/29/2022","17:30:00","0313 NE  SW","6","5","","","","","","","","76.1","","62.6","63","1019.2"
"04/29/2022","17:30:00","0313 NE  SW","12","5","108","8","129","16","129","16","14","","","","",""
"04/29/2022","17:30:00","0313 NE  SW","54","5","102","12","107","19","102","19","10","73.7","-2.4","60.8","64",""
"04/29/2022","17:30:00","0313 NE  SW","162","5","103","15","109","19","109","19","8","","","","",""
"04/29/2022","17:30:00","0313 NE  SW","204","5","102","16","106","20","106","20","7","72.5","","61.4","68",""
"04/29/2022","17:30:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","0313 NE  SW","394","5","112","7","109","7","105","7","7","","","","",""
"04/29/2022","17:30:00","0313 NE  SW","492","5","","","","","","","","","","","63",""
"04/29/2022","17:30:00","0002 SE  SE","6","5","","","","","","","","77.1","","64.0","64",""
"04/29/2022","17:30:00","0002 SE  SE","12","5","95","9","98","16","72","17","15","","","","",""
"04/29/2022","17:30:00","0002 SE  SE","54","5","94","13","91","18","91","18","11","77.3","0.2","62.8","61",""
"04/29/2022","17:30:00","0002 SE  SE","90","5","94","14","87","18","73","19","9","","","","",""
"04/29/2022","17:30:00","0002 SE  SE","145","5","95","16","98","20","94","20","7","","","","",""
"04/29/2022","17:30:00","0002 SE  SE","204","5","95","17","96","20","93","20","6","73.0","","61.4","67",""
"04/29/2022","17:30:00","0006 SE  SE","6","5","","","","","","","","76.6","","63.1","63",""
"04/29/2022","17:30:00","0006 SE  SE","12","5","92","5","92","12","109","12","21","","","","",""
"04/29/2022","17:30:00","0006 SE  SE","54","5","89","11","90","17","75","18","13","74.0","-2.6","61.9","66",""
"04/29/2022","17:30:00","0006 SE  SE","162","5","94","17","91","19","83","20","5","","","","",""
"04/29/2022","17:30:00","0006 SE  SE","204","5","95","17","98","20","98","20","4","71.9","","59.9","66",""
"04/29/2022","17:30:00","0110 SE  SE","6","5","","","","","","","","78.8","","64.7","62",""
"04/29/2022","17:30:00","0110 SE  SE","12","5","102","8","96","16","96","16","17","","","","",""
"04/29/2022","17:30:00","0110 SE  SE","54","5","100","13","106","19","106","19","11","75.3","-3.5","61.8","63",""
"04/29/2022","17:30:00","0110 SE  SE","162","5","93","16","90","21","90","21","9","","","","",""
"04/29/2022","17:30:00","0110 SE  SE","204","5","96","16","97","20","97","20","7","73.3","","60.0","63",""
"04/29/2022","17:30:00","0313 SW  SW","6","5","","","","","","","","75.8","","64.9","69",""
"04/29/2022","17:30:00","0313 SW  SW","12","5","101","9","111","17","111","17","13","","","","",""
"04/29/2022","17:30:00","0313 SW  SW","54","5","96","13","98","20","98","20","10","73.8","-2.0","61.3","65",""
"04/29/2022","17:30:00","0313 SW  SW","162","5","101","16","112","22","112","22","7","","","","",""
"04/29/2022","17:30:00","0313 SW  SW","204","5","92","17","96","21","96","21","7","73.2","","60.3","64",""
"04/29/2022","17:30:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","0313 SW  SW","492","5","","","","","","","","","","","",""
"04/29/2022","17:30:00","VAB 01","195","5","","","","","","","","75.4","","61.9","63",""
"04/29/2022","17:30:00","VAB 01","359","5","","","","","","","","75.6","","61.2","61",""
"04/29/2022","17:35:00","0002 NW  SE","6","5","","","","","","","","78.9","","61.9","56",""
"04/29/2022","17:35:00","0002 NW  SE","12","5","94","9","86","16","86","16","13","","","","",""
"04/29/2022","17:35:00","0002 NW  SE","54","5","92","12","102","18","102","18","9","73.5","-5.4","62.3","68",""
"04/29/2022","17:35:00","0002 NW  SE","90","5","95","12","98","17","98","17","8","","","","",""
"04/29/2022","17:35:00","0002 NW  SE","145","5","92","13","95","17","95","17","6","","","","",""
"04/29/2022","17:35:00","0002 NW  SE","204","5","93","14","94","20","94","20","8","73.4","","64.2","73",""
"04/29/2022","17:35:00","0006 NW  SE","6","5","","","","","","","","76.3","","62.3","62",""
